Packet Counter,Source,Destination,Timestamp,Protocol
33,192.168.2.111,192.168.2.77,2020-09-06 23:33:41.918040,6
34,192.168.2.77,192.168.2.111,2020-09-06 23:33:41.920019,6
35,192.168.2.111,192.168.2.77,2020-09-06 23:33:42.426367,6
36,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.435394,6
37,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.435763,17
38,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.435798,17
39,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.435820,17
40,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.436351,17
41,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.436410,17
42,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.436519,17
43,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.437683,17
44,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.437738,17
45,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.437870,17
46,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.437923,17
47,192.168.2.77,192.168.2.107,2020-09-06 23:33:42.442450,17
48,192.168.2.77,192.168.2.107,2020-09-06 23:33:42.449510,17
49,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.458222,17
50,192.168.2.77,192.168.2.111,2020-09-06 23:33:42.473349,6
51,192.168.2.111,192.168.2.77,2020-09-06 23:33:42.476915,6
52,192.168.2.77,192.168.2.107,2020-09-06 23:33:42.491468,6
53,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.493871,17
54,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.493916,17
55,192.168.2.77,192.168.2.107,2020-09-06 23:33:42.520011,17
56,192.168.2.77,192.168.2.111,2020-09-06 23:33:42.520015,6
57,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.537201,6
58,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.537237,6
59,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.542327,6
60,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.542369,6
61,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.548802,6
62,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.548817,6
63,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.554567,6
64,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.554588,6
65,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.554832,6
66,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.554844,6
67,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.556445,6
68,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.556457,6
69,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.556671,6
70,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.556680,6
71,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.557778,6
72,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.557786,6
73,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.576181,6
74,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.576219,6
75,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.577556,6
76,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.577580,6
77,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.638531,6
78,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.638550,6
79,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.643432,6
80,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.643446,6
81,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.649776,6
82,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.649788,6
83,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.655576,6
84,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.655592,6
85,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.655752,6
86,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.655769,6
87,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.657323,6
88,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.657333,6
89,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.657375,6
90,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.657384,6
91,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.658892,6
92,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.658902,6
93,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.677791,6
94,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.677808,6
95,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.678624,6
96,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.678634,6
97,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.807994,17
98,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.808046,17
99,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.808069,17
100,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.808216,17
101,192.168.2.107,192.168.2.77,2020-09-06 23:33:42.808248,17
102,192.168.2.77,192.168.2.107,2020-09-06 23:33:42.821393,17
103,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.839826,6
104,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.839856,6
105,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.844353,6
106,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.844379,6
107,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.850618,6
108,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.850630,6
109,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.856627,6
110,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.856641,6
111,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.856739,6
112,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.856749,6
113,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.858009,6
114,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.858027,6
115,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.858057,6
116,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.858066,6
117,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.859758,6
118,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.859767,6
119,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.878653,6
120,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.878671,6
121,192.168.2.111,192.168.2.107,2020-09-06 23:33:42.879386,6
122,192.168.2.107,192.168.2.111,2020-09-06 23:33:42.879404,6
123,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.141107,6
124,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.141142,6
125,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.145300,6
126,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.145339,6
127,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.151757,6
128,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.151803,6
129,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.157531,6
130,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.157561,6
131,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.157585,6
132,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.157593,6
133,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.158898,6
134,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.158908,6
135,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.158935,6
136,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.158943,6
137,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.160757,6
138,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.160767,6
139,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.179588,6
140,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.179607,6
141,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.180298,6
142,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.180314,6
143,192.168.2.107,192.168.2.77,2020-09-06 23:33:43.433636,17
144,192.168.2.77,192.168.2.107,2020-09-06 23:33:43.453112,17
145,192.168.2.107,192.168.2.77,2020-09-06 23:33:43.492838,6
146,192.168.2.107,192.168.2.77,2020-09-06 23:33:43.492838,17
147,192.168.2.107,192.168.2.77,2020-09-06 23:33:43.492888,17
148,192.168.2.107,192.168.2.77,2020-09-06 23:33:43.492922,17
149,192.168.2.77,192.168.2.107,2020-09-06 23:33:43.500789,17
150,192.168.2.107,192.168.2.77,2020-09-06 23:33:43.520649,17
151,192.168.2.77,192.168.2.107,2020-09-06 23:33:43.537299,6
152,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.542387,6
153,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.542407,6
154,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.546442,6
155,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.546471,6
156,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.552689,6
157,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.552719,6
158,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.558518,6
159,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.558529,6
160,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.558554,6
161,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.558561,6
162,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.559869,6
163,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.559887,6
164,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.559931,6
165,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.559941,6
166,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.561970,6
167,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.561978,6
168,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.581030,6
169,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.581046,6
170,192.168.2.111,192.168.2.107,2020-09-06 23:33:43.581238,6
171,192.168.2.107,192.168.2.111,2020-09-06 23:33:43.581254,6
172,192.168.2.107,192.168.2.77,2020-09-06 23:33:44.025320,17
173,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.044970,6
174,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.045011,6
175,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.048439,6
176,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.048456,6
177,192.168.2.77,192.168.2.107,2020-09-06 23:33:44.053279,17
178,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.054674,6
179,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.054690,6
180,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.060318,6
181,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.060334,6
182,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.061021,6
183,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.061033,6
184,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.061341,6
185,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.061351,6
186,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.062225,6
187,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.062235,6
188,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.063843,6
189,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.063860,6
190,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.082957,6
191,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.082975,6
192,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.083318,6
193,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.083329,6
194,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.087460,6
195,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.087591,6
196,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.087865,6
197,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.088120,6
198,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.088330,6
199,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.088575,6
200,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.088803,6
201,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.089045,6
202,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.089235,6
203,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.089455,6
204,192.168.2.77,192.168.2.111,2020-09-06 23:33:44.090293,6
205,192.168.2.77,192.168.2.111,2020-09-06 23:33:44.090293,6
206,192.168.2.77,192.168.2.111,2020-09-06 23:33:44.090692,6
207,192.168.2.77,192.168.2.111,2020-09-06 23:33:44.091692,6
208,192.168.2.77,192.168.2.111,2020-09-06 23:33:44.093136,6
209,192.168.2.77,192.168.2.111,2020-09-06 23:33:44.093927,6
210,192.168.2.111,192.168.2.77,2020-09-06 23:33:44.094024,6
211,192.168.2.77,192.168.2.111,2020-09-06 23:33:44.137067,6
212,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.146184,6
213,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.146214,6
214,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.149249,6
215,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.149275,6
216,192.168.2.107,192.168.2.77,2020-09-06 23:33:44.150991,17
217,192.168.2.107,192.168.2.77,2020-09-06 23:33:44.151052,17
218,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.155492,6
219,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.155509,6
220,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.161364,6
221,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.161379,6
222,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.161688,6
223,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.161699,6
224,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.162055,6
225,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.162083,6
226,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.162876,6
227,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.162887,6
228,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.164554,6
229,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.164564,6
230,192.168.2.77,192.168.2.107,2020-09-06 23:33:44.169038,17
231,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.183723,6
232,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.183734,6
233,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.184108,6
234,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.184125,6
235,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.347761,6
236,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.347783,6
237,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.350134,6
238,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.350145,6
239,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.356360,6
240,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.356373,6
241,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.362206,6
242,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.362225,6
243,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.362493,6
244,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.362509,6
245,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.362864,6
246,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.362874,6
247,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.363622,6
248,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.363630,6
249,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.365328,6
250,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.365336,6
251,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.384594,6
252,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.384610,6
253,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.384752,6
254,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.384761,6
255,192.168.2.107,192.168.2.77,2020-09-06 23:33:44.431723,17
256,192.168.2.107,192.168.2.77,2020-09-06 23:33:44.461851,17
257,192.168.2.107,192.168.2.77,2020-09-06 23:33:44.461887,17
258,192.168.2.77,192.168.2.107,2020-09-06 23:33:44.469323,17
259,192.168.2.77,192.168.2.107,2020-09-06 23:33:44.509267,17
260,192.168.2.77,192.168.2.97,2020-09-06 23:33:44.624004,6
261,192.168.2.97,192.168.2.77,2020-09-06 23:33:44.624081,6
262,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.649188,6
263,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.649215,6
264,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.651272,6
265,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.651285,6
266,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.657709,6
267,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.657727,6
268,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.663446,6
269,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.663462,6
270,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.663685,6
271,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.663709,6
272,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.663742,6
273,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.663757,6
274,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.664600,6
275,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.664611,6
276,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.666533,6
277,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.666542,6
278,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.685568,6
279,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.685584,6
280,192.168.2.111,192.168.2.107,2020-09-06 23:33:44.685613,6
281,192.168.2.107,192.168.2.111,2020-09-06 23:33:44.685622,6
282,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.050613,6
283,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.050656,6
284,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.052395,6
285,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.052420,6
286,192.168.2.107,192.168.2.77,2020-09-06 23:33:45.056394,6
287,192.168.2.107,192.168.2.77,2020-09-06 23:33:45.056419,17
288,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.059144,6
289,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.059164,6
290,192.168.2.77,192.168.2.107,2020-09-06 23:33:45.064057,17
291,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.064797,6
292,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.064797,6
293,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.064816,6
294,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.064827,6
295,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.064915,6
296,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.064926,6
297,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.065588,6
298,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.065596,6
299,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.067624,6
300,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.067638,6
301,192.168.2.107,192.168.2.77,2020-09-06 23:33:45.083278,17
302,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.086678,6
303,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.086678,6
304,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.086701,6
305,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.086714,6
306,192.168.2.77,192.168.2.107,2020-09-06 23:33:45.106430,6
307,192.168.2.107,192.168.2.77,2020-09-06 23:33:45.118445,17
308,192.168.2.107,192.168.2.77,2020-09-06 23:33:45.118486,17
309,192.168.2.107,192.168.2.77,2020-09-06 23:33:45.118508,17
310,192.168.2.77,192.168.2.107,2020-09-06 23:33:45.138626,17
311,192.168.2.107,192.168.2.77,2020-09-06 23:33:45.462770,17
312,192.168.2.77,192.168.2.107,2020-09-06 23:33:45.511899,17
313,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.556640,6
314,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.556679,6
315,192.168.2.107,192.168.2.77,2020-09-06 23:33:45.556773,17
316,192.168.2.107,192.168.2.77,2020-09-06 23:33:45.556804,17
317,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.557469,6
318,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.557488,6
319,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.560884,6
320,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.560896,6
321,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.567361,6
322,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.567361,6
323,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.567377,6
324,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.567387,6
325,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.567602,6
326,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.567619,6
327,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.568267,6
328,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.568283,6
329,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.569213,6
330,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.569223,6
331,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.588633,6
332,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.588670,6
333,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.591516,6
334,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.591533,6
335,192.168.2.77,192.168.2.107,2020-09-06 23:33:45.592071,17
336,192.168.2.111,192.168.2.77,2020-09-06 23:33:45.600197,6
337,192.168.2.111,192.168.2.77,2020-09-06 23:33:45.600197,6
338,192.168.2.77,192.168.2.111,2020-09-06 23:33:45.603277,6
339,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.658026,6
340,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.658045,6
341,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.658174,6
342,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.658183,6
343,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.661738,6
344,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.661748,6
345,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.668110,6
346,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.668120,6
347,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.668178,6
348,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.668186,6
349,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.668716,6
350,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.668724,6
351,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.669058,6
352,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.669072,6
353,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.670100,6
354,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.670111,6
355,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.689990,6
356,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.690006,6
357,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.692192,6
358,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.692201,6
359,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.859075,6
360,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.859106,6
361,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.859137,6
362,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.859154,6
363,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.862511,6
364,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.862522,6
365,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.868883,6
366,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.868895,6
367,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.868940,6
368,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.868949,6
369,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.869431,6
370,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.869443,6
371,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.869844,6
372,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.869853,6
373,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.870914,6
374,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.870922,6
375,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.891042,6
376,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.891058,6
377,192.168.2.111,192.168.2.107,2020-09-06 23:33:45.892964,6
378,192.168.2.107,192.168.2.111,2020-09-06 23:33:45.892979,6
379,192.168.2.107,192.168.2.77,2020-09-06 23:33:46.056959,17
380,192.168.2.77,192.168.2.107,2020-09-06 23:33:46.064684,17
381,192.168.2.107,192.168.2.77,2020-09-06 23:33:46.083191,17
382,192.168.2.107,192.168.2.77,2020-09-06 23:33:46.120015,17
383,192.168.2.107,192.168.2.77,2020-09-06 23:33:46.120022,6
384,192.168.2.107,192.168.2.77,2020-09-06 23:33:46.120141,17
385,192.168.2.107,192.168.2.77,2020-09-06 23:33:46.120189,17
386,192.168.2.107,192.168.2.77,2020-09-06 23:33:46.120241,17
387,192.168.2.107,192.168.2.77,2020-09-06 23:33:46.120282,17
